datetime,open,high,low,close,volume
2020-05-17 04:00:00,201.39,201.96,201.13,201.52,8646.193
2020-05-17 04:30:00,201.51,201.56,200.35,200.92,20274.248
2020-05-17 05:00:00,200.91,201.3,200.86,201.0,8001.991
2020-05-17 05:30:00,201.0,201.09,200.34,200.92,10655.101
2020-05-17 06:00:00,200.92,201.62,200.75,201.37,8286.649
2020-05-17 06:30:00,201.37,202.29,201.37,202.07,21692.122
2020-05-17 07:00:00,202.08,202.9,201.62,201.76,31141.88
2020-05-17 07:30:00,201.76,202.14,201.73,202.01,8118.439
2020-05-17 08:00:00,202.01,202.22,200.9,201.27,16550.11
2020-05-17 08:30:00,201.23,201.63,200.84,201.05,12173.898
2020-05-17 09:00:00,201.05,201.4,200.67,201.39,12390.755
2020-05-17 09:30:00,201.38,201.99,201.0,201.3,11709.486
2020-05-17 10:00:00,201.3,201.8,201.16,201.73,6952.456
2020-05-17 10:30:00,201.74,201.87,201.41,201.71,5971.768
2020-05-17 11:00:00,201.71,201.84,200.83,201.25,13578.752
2020-05-17 11:30:00,201.24,201.43,201.1,201.24,7065.223
2020-05-17 12:00:00,201.23,205.19,201.22,204.89,113572.707
2020-05-17 12:30:00,204.88,207.4,204.3,206.8,74706.473
2020-05-17 13:00:00,206.81,207.61,206.01,206.77,54712.166
2020-05-17 13:30:00,206.77,207.0,206.1,206.85,20686.975
2020-05-17 14:00:00,206.85,207.36,206.28,206.82,18614.921
2020-05-17 14:30:00,206.88,209.75,206.55,208.96,67942.009
2020-05-17 15:00:00,208.97,209.48,207.67,208.29,44518.157
2020-05-17 15:30:00,208.29,208.9,207.44,208.77,35201.965
2020-05-17 16:00:00,208.78,209.28,207.9,208.21,24768.425
2020-05-17 16:30:00,208.21,208.48,207.08,207.68,20694.239
2020-05-17 17:00:00,207.68,208.11,207.38,207.75,13222.024
2020-05-17 17:30:00,207.75,208.27,207.57,207.91,12565.244
2020-05-17 18:00:00,207.9,208.0,207.24,207.38,11975.94
2020-05-17 18:30:00,207.38,207.9,206.37,207.6,23736.806
2020-05-17 19:00:00,207.6,207.7,207.1,207.55,7804.495
2020-05-17 19:30:00,207.55,207.96,207.39,207.82,8682.763
2020-05-17 20:00:00,207.82,207.83,207.22,207.48,6458.301
2020-05-17 20:30:00,207.48,208.09,207.21,207.88,10524.741
2020-05-17 21:00:00,207.88,209.4,207.88,209.2,17072.133
2020-05-17 21:30:00,209.18,210.16,208.53,208.87,27757.607
2020-05-17 22:00:00,208.87,208.91,205.9,206.48,53736.443
2020-05-17 22:30:00,206.5,207.55,206.2,207.46,18485.782
2020-05-17 23:00:00,207.43,207.96,207.01,207.22,14346.129
2020-05-17 23:30:00,207.22,207.33,206.3,206.93,17683.748
2020-05-18 00:00:00,206.9,209.08,206.9,208.47,36764.878
2020-05-18 00:30:00,208.47,208.72,207.84,208.54,14247.55
2020-05-18 01:00:00,208.55,214.5,208.08,213.71,135296.846
