symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
BTC,1h,1.3,0.0,1.2,24,True,15,18,33,-46.35693773035719,42.3728813559322,0.6160479679332193,59
BTC,2h,1.3,0.0,1.2,24,True,18,20,38,-127.1874713427263,27.651515151515152,0.6248461306236828,44
BTC,4h,1.3,0.0,1.2,24,True,10,9,19,-134.36983268507106,39.18269230769231,0.3761085520712794,32
ETH,1h,1.3,0.0,1.2,24,True,23,32,55,-3.902826379034875,42.45283018867924,0.7152654744748759,106
ETH,2h,1.3,0.0,1.2,24,True,20,18,38,1.413221953300138,47.2972972972973,1.157929265978499,74
ETH,4h,1.3,0.0,1.2,24,True,13,17,30,-1.90354377651994,40.80788177339902,0.7815580859457,56
BTC,1h,1.3,0.0,1.2,24,False,78,88,166,-201.79413492368772,39.248225122425545,0.5543659798241357,234
BTC,2h,1.3,0.0,1.2,24,False,81,85,166,-204.70844948287643,31.524926686217007,0.5138043014900979,88
BTC,4h,1.3,0.0,1.2,24,False,43,45,88,-205.76657444167068,37.95333923042901,0.4566861303439398,68
ETH,1h,1.3,0.0,1.2,24,False,87,83,170,-11.866043041889746,38.741721854304636,0.6696008895549899,302
ETH,2h,1.3,0.0,1.2,24,False,71,85,156,-11.566837574524627,41.754385964912274,0.7900505834954322,285
ETH,4h,1.3,0.0,1.2,24,False,43,48,91,-19.03901375316478,38.27618164967563,0.7137120763808902,166
BTC,1h,1.3,0.0,1.2,48,True,19,22,41,-15.103030595918066,44.92753623188405,0.8521438024345518,69
BTC,2h,1.3,0.0,1.2,48,True,24,27,51,-20.08430319255178,41.75824175824176,0.8266305499873652,91
BTC,4h,1.3,0.0,1.2,48,True,12,10,22,-116.16907173355322,47.5,0.48906799859251465,40
ETH,1h,1.3,0.0,1.2,48,True,31,37,68,-4.618003775064878,43.75,0.7297654143971707,128
ETH,2h,1.3,0.0,1.2,48,True,26,28,54,2.074645371825196,45.09803921568628,1.0766103854135103,102
ETH,4h,1.3,0.0,1.2,48,True,16,19,35,-12.640858569164932,36.54079254079254,0.465725983506237,65
